DT_GERACAO;HH_GERACAO;ANO_ELEICAO;DS_IDENTIFICACAO_RECURSO;NR_RECURSO;DT_AUTUACAO;DT_BAIXA;NR_PROCESSO_ORIGEM;SG_UF_TRIBUNAL_ORIGEM;NR_INSTANCIA_ORIGEM;SG_UF_TRIBUNAL;NR_INSTANCIA;DT_DISTRIBUICAO;CD_TIPO_DISTRIBUICAO;DS_TIPO_DISTRIBUICAO;CD_RELATOR;NM_RELATOR;CD_TIPO_CARGO_RELATOR;DS_TIPO_CARGO_RELATOR;CD_CLASSE;SG_CLASSE;DS_CLASSE;CD_ASSUNTO_PRINCIPAL;DS_ASSUNTO_PRINCIPAL;DS_TIPO_RECURSO;DS_NATUREZA_RECURSO;ST_CONCLUSO;QT_DECISOES;DT_ULTIMA_DECISAO;DS_ULTIMA_DECISAO
03/12/2023;05:05:43;2022;Processo;64478195;12/09/2022;;0605496-60.2022.6.26.0000;SP;26;SP;2;21/09/2023;;;6;Gabinete do Jurista I;11;Magistrado;156;CumSen;CUMPRIMENTO DE SENTENÇA;12638;Propaganda Política - Propaganda Eleitoral - Impulsionamento;Agravo;Externo;1;6;07-OCT-22;
03/12/2023;05:05:43;2022;Processo;64456781;12/09/2022;;0605496-60.2022.6.26.0000;SP;26;SP;2;21/09/2023;;;6;Gabinete do Jurista I;11;Magistrado;156;CumSen;CUMPRIMENTO DE SENTENÇA;12638;Propaganda Política - Propaganda Eleitoral - Impulsionamento;Recurso;Interno;1;6;07-OCT-22;
03/12/2023;05:05:43;2022;Processo;64462023;04/09/2022;;0604247-74.2022.6.26.0000;SP;26;SP;2;03/04/2023;;;6;Gabinete do Jurista I;11;Magistrado;11541;Rp;REPRESENTAÇÃO;12638;Propaganda Política - Propaganda Eleitoral - Impulsionamento;Agravo;Externo;0;7;26-APR-23;
03/12/2023;05:05:43;2022;Processo;64462019;04/09/2022;;0604247-74.2022.6.26.0000;SP;26;SP;2;03/04/2023;;;6;Gabinete do Jurista I;11;Magistrado;11541;Rp;REPRESENTAÇÃO;12638;Propaganda Política - Propaganda Eleitoral - Impulsionamento;Agravo;Externo;0;7;26-APR-23;
03/12/2023;05:05:43;2022;Processo;64441959;09/09/2022;;0604481-56.2022.6.26.0000;SP;26;SP;2;13/11/2023;;;6;Gabinete do Jurista I;11;Magistrado;11541;Rp;REPRESENTAÇÃO;11680;Propaganda Política - Propaganda Eleitoral - Omissão de Informações Obrigatórias;Embargos de Declaração;Interno;0;10;31/jan/23;
03/12/2023;05:05:43;2022;Processo;64414969;09/09/2022;;0604481-56.2022.6.26.0000;SP;26;SP;2;13/11/2023;;;6;Gabinete do Jurista I;11;Magistrado;11541;Rp;REPRESENTAÇÃO;11680;Propaganda Política - Propaganda Eleitoral - Omissão de Informações Obrigatórias;Recurso;Interno;0;10;31/jan/23;
03/12/2023;05:05:43;2022;Processo;65193980;10/09/2022;;0604957-94.2022.6.26.0000;SP;26;SP;2;10/09/2022;;;5;Gabinete do Juiz de Direito I;4;Magistrado;12193;PCE;PRESTAÇÃO DE CONTAS ELEITORAIS;11630;Cargo - Deputado Estadual;Agravo;Externo;0;5;10/nov/23;
03/12/2023;05:05:43;2022;Processo;65193981;10/09/2022;;0604957-94.2022.6.26.0000;SP;26;SP;2;10/09/2022;;;5;Gabinete do Juiz de Direito I;4;Magistrado;12193;PCE;PRESTAÇÃO DE CONTAS ELEITORAIS;11630;Cargo - Deputado Estadual;Agravo;Externo;0;5;10/nov/23;
03/12/2023;05:05:43;2022;Processo;65179194;10/09/2022;;0604957-94.2022.6.26.0000;SP;26;SP;2;10/09/2022;;;5;Gabinete do Juiz de Direito I;4;Magistrado;12193;PCE;PRESTAÇÃO DE CONTAS ELEITORAIS;11630;Cargo - Deputado Estadual;Embargos de Declaração;Interno;0;5;10/nov/23;
03/12/2023;05:05:43;2022;Processo;64409686;15/08/2022;30/09/2022;0603759-22.2022.6.26.0000;SP;26;SP;2;15/08/2022;;;6;Gabinete do Jurista I;11;Magistrado;11532;RCand;REGISTRO DE CANDIDATURA;11618;Registro de Candidatura - RRC - Candidato;Embargos de Declaração;Interno;0;4;26-SEP-22;
